,Metric,Etiology,U_Statistic,P_Value,Median_Recovered,Median_Non_Recovered,Mean_Recovered,Mean_Non_Recovered,Std_Recovered,Std_Non_Recovered,Count_Recovered,Count_Non_Recovered,Corrected_P_Value,Significance,Corrected_Significance
0,Sample Entropy,Acute Brain Injury,27.0,0.4747017688194159,0.11107408901855301,0.5722840447302948,0.12102700370852326,0.45724250985142234,0.03221748994381575,0.3602900171867364,10,7,1.0,ns,ns
24,Spectral Slope,Acute Brain Injury,52.0,0.10880296174413821,1.9343487946361968,1.3251438327441163,2.046086944084255,1.650340137212132,0.3553284242188404,0.6890983359271498,10,7,1.0,ns,ns
21,Spectral Slope Offset,Acute Brain Injury,48.0,0.2295351707116413,-0.8127269638945029,-0.8722245624206183,-0.8047581083378453,-0.8694625572690845,0.26351867741240903,0.19050184599752554,10,7,1.0,ns,ns
35,Absolute Alpha Power,Acute Seizure,1736.0,1.5757996940812547e-10,0.021804199391292668,0.00291304625593517,0.040952398213462936,0.007394353017756213,0.03687312474254625,0.009750517836110296,55,35,6.61835871514127e-09,***,***
38,Absolute Beta Power,Acute Seizure,1808.0,2.6759848742102885e-12,0.023696841543488834,0.0012769331564998542,0.05475643476581378,0.00438675314708844,0.058935074727466,0.006448481082998654,55,35,1.1239136471683212e-10,***,***
29,Absolute Delta Power,Acute Seizure,753.0,0.0836624883973551,0.40901609531524014,0.43868094739866315,0.39407994364699533,0.4252200510218653,0.10613371003413007,0.07459973413584475,55,35,1.0,ns,ns
41,Absolute Gamma Power,Acute Seizure,1657.0,9.246868409765949e-09,0.0015905550413799923,0.00012721276107359442,0.002072401712546658,0.0006438341024759155,0.001720011438534978,0.0011285690019746607,55,35,3.8836847321016983e-07,***,***
32,Absolute Theta Power,Acute Seizure,1510.0,5.973440221305821e-06,0.04822972319872053,0.01913886961773053,0.06625543561679921,0.02815497737441644,0.04794540300198919,0.021083056397575507,55,35,0.0002508844892948445,***,***
8,Conditional Weighted Permutation Entropy,Acute Seizure,771.0,0.11391461699897143,0.08666569733685014,0.1205737734972171,0.08905606372887998,0.10182574045626723,0.01774799550541531,0.031803737084169656,55,35,1.0,ns,ns
20,Detrended Fluctuation Analysis Alpha,Acute Seizure,1299.0,0.005419938205859152,0.6409532765616295,0.571792490174188,0.6189221249831255,0.5718125749959674,0.1114308696697776,0.1037357390208295,55,35,0.22763740464608437,**,ns
17,Higuchi Fractal Dimension,Acute Seizure,1531.0,2.587170192495448e-06,1.9318690254919977,1.8942614317689688,1.9225065875281346,1.8882411747156567,0.03142971308133154,0.019695410666246332,55,35,0.00010866114808480881,***,***
11,Lempel-Ziv Complexity,Acute Seizure,1793.0,6.226270371385125e-12,0.23874054784469476,0.11937027392234738,0.23777593957057477,0.12461246055491608,0.0731018675817349,0.02870268713728887,55,35,2.615033555981753e-10,***,***
14,Lyapunov Exponent,Acute Seizure,900.0,0.6078448146413493,0.0018447528810156496,0.002117732238160016,0.0024317554096164114,0.0020091188099518593,0.0017465845597442438,0.0004437462855370282,55,35,1.0,ns,ns
5,Permutation Entropy,Acute Seizure,1364.0,0.0009036100147787261,0.8769572890481938,0.8413145550220322,0.8706258164314902,0.836454352559553,0.04619280251764958,0.03943428601334066,55,35,0.0379516206207065,***,*
2,Sample Entropy,Acute Seizure,1452.0,5.181589772332292e-05,0.13448475955253447,0.07855060618765873,0.16540413894859876,0.0956058033354356,0.09253716402621262,0.04494739679571334,55,35,0.002176267704379563,***,**
26,Spectral Slope,Acute Seizure,250.0,3.793052165570703e-09,2.3749911290223737,3.147894203831959,2.379082829367314,2.9819034844302155,0.23612377397748,0.36507057701878304,55,35,1.5930819095396952e-07,***,***
23,Spectral Slope Offset,Acute Seizure,694.0,0.02654514882707344,-0.34021442851710465,-0.28597713534317715,-0.34877869906315273,-0.25889828423333044,0.21304653552262415,0.0957715850888346,55,35,1.0,*,ns
34,Absolute Alpha Power,Systemic Injury,567.0,0.029561996036886667,0.02465963372661057,0.010886428904422832,0.02885647692029447,0.017307252650365743,0.02193214738293697,0.016443329884815373,52,16,1.0,*,ns
37,Absolute Beta Power,Systemic Injury,632.0,0.0018352647297420466,0.019789647320319542,0.007396065647397091,0.028950459166903444,0.012866514834217857,0.027041607255371716,0.016690344064202334,52,16,0.07708111864916596,**,ns
28,Absolute Delta Power,Systemic Injury,475.0,0.39767236674556616,0.3540851633441206,0.3446261603438387,0.3694272415511391,0.33924176501586556,0.09263971559755899,0.11120498392153289,52,16,1.0,ns,ns
40,Absolute Gamma Power,Systemic Injury,401.0,0.8339493112429274,0.002198730707520804,0.0022481252143193814,0.002660250326576651,0.004576926172228886,0.0021735857038633916,0.007713192931043334,52,16,1.0,ns,ns
31,Absolute Theta Power,Systemic Injury,342.0,0.287939030481161,0.036240120665862144,0.0597561642403043,0.060303680838145045,0.08056490752673634,0.05770165484226022,0.07244733660221098,52,16,1.0,ns,ns
7,Conditional Weighted Permutation Entropy,Systemic Injury,376.0,0.5679413513348133,0.08200309781001419,0.08496618923460456,0.08382286324081976,0.08825551421107425,0.01766358822192232,0.019260376920119327,52,16,1.0,ns,ns
19,Detrended Fluctuation Analysis Alpha,Systemic Injury,527.0,0.11013314002497357,0.6725251762227458,0.6231639585886866,0.6791659982593222,0.6374844840157681,0.09665732626090903,0.10189350998557138,52,16,1.0,ns,ns
16,Higuchi Fractal Dimension,Systemic Injury,479.0,0.3661984807151676,1.9073545992337793,1.9053928690701314,1.9089175841066148,1.8930259526032758,0.026844432944094502,0.04182181464686025,52,16,1.0,ns,ns
10,Lempel-Ziv Complexity,Systemic Injury,526.5,0.11151294575583155,0.2166349415627786,0.19010821402447914,0.21765520031425167,0.1949438153986483,0.06434043024476707,0.07580737823794854,52,16,1.0,ns,ns
13,Lyapunov Exponent,Systemic Injury,393.0,0.7449524044020521,0.001714064202224033,0.001741636598299272,0.0017438103492381006,0.001708396023246335,0.000878855306993239,0.00047446772448571313,52,16,1.0,ns,ns
4,Permutation Entropy,Systemic Injury,395.0,0.7669350082286583,0.8621190818585592,0.8580040353130688,0.85661317135741,0.8649842578530983,0.038285383035051475,0.03404488777712608,52,16,1.0,ns,ns
1,Sample Entropy,Systemic Injury,389.0,0.7016206762762072,0.10466911267782653,0.11557210581592534,0.14447941478928836,0.1809250631841767,0.10240509272933591,0.16096512937778104,52,16,1.0,ns,ns
25,Spectral Slope,Systemic Injury,421.0,0.9481258860583575,2.1864771689646187,2.337419289433642,2.2586380575179876,2.2383174028465094,0.36332011973067574,0.4851838604408242,52,16,1.0,ns,ns
22,Spectral Slope Offset,Systemic Injury,487.0,0.3080700240660724,-0.4805079284411108,-0.5598058369028882,-0.5112678821394734,-0.6136570095234292,0.26351334969743573,0.3022752300184134,52,16,1.0,ns,ns
